Bezahlen mit;Typ;Restaurant;Adresse;PLZ;Ort;Kanton;Telefon;Website
;;44;Scheibenstrasse 44;3014;Bern;BE;031 312 55 44;www.zentrum44.ch/restaurant44
;;99;Bederstrasse 99;8002;Zürich;ZH;+41442016076;www.ristorante-99.ch
;;1001;Niederdorfstrasse 4;8001;Zürich;ZH;044 252 90 60;
;;8001;Leonhardstrasse 1;8001;Zürich;ZH;044 261 40 55;www.restaurant-8001.ch
;;@Will's;Wassergrabenstrasse 21;4102;Binningen;BL;061 423 09 80;www.willscafe.net
;;01 Bar;Köngengasse 2/Limmatquai 86;8001;Zürich;ZH;043 268 00 66;www.01bar.ch
;;01 Ocakbasi;Bernerstrasse Nord 224;8064;Zürich;ZH;043 321 77 70;www.01ocakbasi.ch
;;1 Café du Marché;Place du Marché 1;1020;Renens;VD;021 633 70 52;
;;121 Grad Celsius;;;;;079 265 30 73;www.121gradcelsius.ch
;;2.Akt;Selnaustrasse 2;8001;Zürich;ZH;044 201 65 64;www.2akt.ch
;;20/20 by Mövenpick Wein Bar;Nüschelerstrasse 1;8001;Zürich;ZH;+41442119139;www.wein-bar.ch
;;26 Rose Garden;Schürweidstrasse 43;8912;Obfelden;ZH;044 271 05 15;www.bistro-rosegarden.ch
;;3 Brüder;Limmatplatz 1;8005;Zürich;ZH;+41442732848;
;;3 Länder;Flughafen Basel-Mulhouse;4030;Basel;BS;061 325 32 19;
;;3 mens kebab;Bahnhofstrasse 8;8630;Rüti ZH;ZH;055 610 22 22;
;;3 pièces 1/2;Faubourg de l'Hôpital 3;2000;Neuchâtel;NE;+41327252423;
;;4 Leoni;Luisenstrasse 43;8005;Zürich;ZH;044 271 00 66;www.4leoni.ch
;;4 Leoni Siracusa;Molkenstrasse 20;8004;Zürich;ZH;043 322 04 34;www.4leoni-siracusa.ch
;;4. Akt;Heinrichstrasse 262;8005;Zürich;ZH;+41442710368;www.4akt.ch
;;46a;Avenue Rhodanie 46a;1007;Lausanne;VD;021 613 12 13;www.46a.ch
;;5 Signori;Güterstrasse 183;4053;Basel;BS;+41613618773;www.restaurantsignori.ch
;;5-Stelle;Luzernerring 75;4056;Basel;BS;061 322 03 03;www.5-stelle.ch
;;67 Sixtyseven Sportsbar;Weststrasse 11;6303;Zug;ZG;041 725 31 30;www.67sportsbar.ch
;;7 Pasta Pizzakurier;Steinackerstrasse 35;8302;Kloten;ZH;044 803 07 07;www.7pasta.ch
;;800 grad;Riehenring 109;4058;Basel;BS;+41616818800;www.800grad.ch
;;8304 Bar & Lounge;Zentralstrasse 4;8304;Wallisellen;ZH;044 830 44 00;www.8304.bar
;;8-Bar;Rheingasse 8;4058;Basel;ZH;;www.8-bar.eu
;;9 Thai;Zürichstrasse 60;8910;Affoltern am Albis;ZH;044 762 22 88;
;;a mo';Baslerstrasse 50, EKZ Letzipark;8048;Zürich;ZH;044 492 44 72;www.autogrill.ch
;;a mo';Einkaufszentrum Shoppi;8957;Spreitenbach;AG;056 410 10 80;www.autogrill.ch
;;a mo';Rose de la Broye A1;1470;Estavayer-le-Lac;FR;026 664 04 70;www.autogrill.ch
;;a mo' ristorante;Place de Cornavin 3;1211;Genève 1;GE;;www.autogrill.ch
;;a mo' Take Away;Place de Cornavin 3;1211;Genève 1;GE;022 906 11 10;www.autogrill.ch
;;A Table! & Co. SA;Boulevard du Pont-d'Arve 46;1205;Genève;GE;022 320 54 54;www.a-table.ch
;;A. Pougnier;Rue de la Confédération 5;1204;Genève;GE;022 310 37 52;www.pougnier-geneve.ch
;;A. Pougnier;Gare Cornavin Aile ouest;1201;Genève;GE;022 741 09 74;www.pougnier-geneve.ch
;;A. Pougnier;Rue John-Grasset 10;1205;Genève;GE;022 321 47 63;www.pougnier-geneve.ch
;;A. Pougnier;Rue Saint-Victor 34;1227;Carouge GE;GE;022 300 66 37;www.pougnier-geneve.ch
;;A. Pougnier;Galerie Malbuisson 12;1204;Genève;GE;022 311 51 72;www.pougnier-geneve.ch
;;A. Pougnier;Place du Bourg-de-Four 2;1204;Genève;GE;022 810 10 00;www.pougnier-geneve.ch
;;A. Pougnier;Route de Genève 106;1226;Thônex;GE;022 349 86 94;www.pougnier-geneve.ch
;;A. Pougnier;Gare Cornavin Aile est;1201;Genève;GE;022 732 37 70;www.pougnier-geneve.ch
;;A.I.R. Bakery;Check-in 2;8058;Zürich-Flughafen;ZH;;www.autogrill.ch
;;A.I.R. Holy Cow;Check-in 2;8058;Zürich-Flughafen;ZH;;www.autogrill.ch
;;A.I.R. Restaurant;Check-in 2;8058;Zürich-Flughafen;ZH;;www.autogrill.ch
;;A.T.P. Centre Portugais;Rue de l'Hôtel-de-Ville 101 b;2300;La Chaux-de-Fonds;NE;032 968 03 28;
;;A1 Albis Asian;Badenerstrasse 298;8004;Zürich;ZH;+41442400725;www.a1-albis.ch
;;A1 Move (Eldora);Bändliweg 20;8048;Zürich;ZH;044 419 00 55;www.eldora-a1move.ch/kontakt/
;;A227 Scolarest / HSLU TA;Technikumstrasse 21;6048;Horw;LU;;
;;Aarauerhof (ZFV);Bahnhofplatz 2;5001;Aarau;AG;+41628378300;www.aarauerhof.ch
;;Aarauerstube;Bahnhofstrasse 78;5000;Aarau;AG;+41628221352;
;;Aarbergerhof;Aarbergergasse 40;3011;Bern;BE;+41313110870;www.aarbergerhof.ch
;;Aarehof;Bahnhofstrasse 5;5103;Wildegg;AG;+41628878484;www.aarehof.ch
;;Aargauerhof;Hohlstrasse 43;8004;Zürich;ZH;044 242 46 16;www.restaurant-aargauerhof.ch
;;Aarhof;Frohburgstrasse 2;4600;Olten;SO;062 212 88 62;www.aarhof.ch
;;ABB Restaurant (ZFV);Bruggerstrasse 72;5400;Baden;AG;056 205 11 88;www.zfv.ch
;;Aberen;Aberenstrasse 36;8712;Stäfa;ZH;044 926 11 31;www.aberen.ch
;;Abordage;Avenue du Léman 67;1025;St-Sulpice VD;VD;021 691 93 93;www.restaurant-abordage.ch
;;Abyssinia;Steinentorberg 26;4051;Basel;BS;079 456 88 63;www.abyssinia-basel.ch
;;Accademia;Zihlmattweg 20;6005;Luzern;LU;041 340 85 85;www.ristorante-accademia.ch
